text,inappropriate
"Meu nivel de amizade com isis é ela ter meu insta e eu ter o dela, e quando eu penso que não ela manda mensagem “ falano otario ta falando dnv no insta”",1
"rt @user @user o cara adultera dados, que foram desmascarados e ainda quer ficar no governo?",1
"@user @user @user o cara só é simplesmente o maior vencedor da história de futebol, tá com 36 anos e tem gás demais e não um gordo com joelho fodido",1
eu to chorando vei vsf e eu nem staneio izone nem nada https://t.co/rglb8luutw,1
"Eleitor do Bolsonaro é tão ignorante q não percebeu q a frase abaixo significa o seguinte:

“É melhor falar um monte de bosta do que ficar calado”.

Ainda transformaram em imagem bonitinha com citação e data hahhahahahhahahhahah. https://t.co/cBpSJT1Gdf",1
rt @user vai responder as outras 75 conversas e para de cobrar atenção caralho https://t.co/g6qy9om78x,1
"tem um do jack com a msm música e agr não sei qual flodar 
grande dia 👍",0
mais é ruim pra pedir desafio  esse técnico do  azerbaijão,1
"@user eu fico vendo isso e penso ""desvantagens do k-pop esta sendo cada vez mais difundido"" o millenium americano ta tão acostumado com gente que não dança e perfomances sem coreografia que quando veem dança de verdade e sincronia fica bugado",1
"frio do caralho, parece até q to dentro do teu coração",1
"@user o mentiroso
https://t.co/5fantv4zdx",1
"@user onde mexe fede!
#forastf 
#stfvergonhanacional 
#forasuspeitotribunalfederal
#nasruascontrastf",1
"meu filho vem primeiro, ele é minha prioridade!",0
hoje deu vontade de abraçar minha mãe e chorar o dia inteiro 😔 tpm seja bem vinda.,0
"Minha conta iria fazer 10 anos, em abril perdeu todos os seguidores, recomeçando, foi suspensa dia 25 de julho.

Enquanto do outro lado, o da criminalidade, pode todos os absurdos, o Povo honesto e trabalhador não pode nada. Não seremos adestrados. Nunca!

#DireitaCensurada https://t.co/qVWf3HxWd8",0
"@user não se ele tiver encomendado o ""serviço""",0
@user @user @user sou a favor de invadir o stf e não chegarmos lá d mãos vazias....😝😝😝,1
"@user @user Folha de São Paulo pra mim não serve nem pra pendurar no banheiro de posto de gasolina,  pegar na mão então nem se fala. Acho que ler fotonovela, se é que ainda existe é mais proveitoso",1
"@user @user Vc deve ser louca, defendi o INPE na nossa conversa, ou vc é cega, disléxica, achei péssimo a exoneração feita hoje, tenho ciência do bom trabalho q o INPE faz, enfim, não vou perder meu tempo com vc, abraça o DataFolha aí, espere a virada do Haddad ou Ciro no segundo turno kkkkk",1
"@user nao deixa sua cabeça te fazer de maluca, seu corpo é lindo, assim como todos são dos seus jeitinhos, vai a praia sim eu hein vou dar na sua cara",1
@user os hormonios pulando...,1
"hoje é caso dormir cedo
tipo um preso",1
e nessa loucuraaaaaa de dizer que não te querooooooooo,0
"@user @user Eu como morador da terra do meio no Pará e conselheiro de 2 UCs, posso falar com segurança que os dados do Inpe, realmente estavam sendo manipulados por ativista travestidos de cientistas pra prejudicar a imagem do governo Bolsonaro! Ontem o ministro Salles provou isso!",1
bixetes vem logo por favor,1
"Por outro lado, entre os gestores há um consenso que joga contra o investimento de mais longo prazo. 
Quando provocados, eles são categóricos: se há uma posição que eles não carregariam por 10 anos de olhos fechados é Itaú, ou qualquer outro banco grande.",1
rt @user hora de colocar os fatos na mesa https://t.co/8174j0wtry,0
o gambenja. como os gambás contrataram o ruimgil sem ter dinheiro pra pagar as marmita s#fsradiobrasil,1
1h30 para sair de casa e estou deitada no sofá como se nada fosse,0
"mano, eu to super de boa, ai penso em certas coisas e já fecho a cara e ninguém entende nd",0
"rt @user eu tenho de parar de estar de costas na praia, porque eu fico sempre morena nas costas e à frente pareço um pacote de l…",0
respeitem só faxavor!,0
"@user @user Contra fatos não há argumentos, Jair.

É assim que você está ficando conhecido na Europa. 

 https://t.co/4jyJCgbe6k",0
@user @user ahhhhhhhh obg kskskskskskks eu disse q sou horrível com cantadas,0
"viva a vida enquanto vc esta vivo, pq dps que vc morrer, n vivera mais",0
"@user @user @user Vc só pensa no Coaf. Acorda alice! Acha mesmo que a PF está engessada somente numa linha de investigação? Achei que como jornalista, era mais esperta.",1
homens feios porem bonitos??¿,0
"@user @user Não fale pelo povo nordestino. Sou maranhense, moro no Maranhão e não me importei nem um pouco. Sai da bolha, otário. Eu queria mesmo era dar um abraço e agradecer ao meu Presidente pelo que tem feito. Ah! E detesto maconha!",1
passando calor aqui na loja,0
"rt @user @user putz, e sex tape não dá pra gravar todo dia...",1
"@user Vc só esqueceu de mencionar, que a turma do bem, agrediu o ministro na presença de suas crianças.  Cabe BO,  segundo o estatuto do ECA.  É covardia, que chama?",1
@user tao linda parece eu,0
@user @user @user @user e o queiroz ninguém acha??!!🤔🤔,0
eu amo um homem,0
rt @user fazendo meu papel de bom amigo marcando keylla em 300 memes ❤️,0
"📺VÍDEO NOVO, TURMA!

FOTO DE BOA LACRADOR NÃO PERDOA

https://t.co/iGV4s2yKOS

✔Entenda por que a chorumesfera atacou com tanta truculência uma adolescente que apenas postou uma foto de uma viagem escolar!

(E compartilha pra tentar reverter o dano que causaram)",1
"fazendo amor
botando pra moer
so eu y voce",1
"O candidato dos ricos que fez a campanha mais pobre da história e o mais atacado por todos
-O político mais burro, pois anuncia seus principais ministros antes mesmo do fim do primeiro turno, não deixando margens para negociatas no segundo turno",1
"rt @user eu ri, mas eu quero kkk https://t.co/yvv0ojmqgr",0
1 mês certinho para 18 anos,0
"mais sonsa que a minha mãe só duas dela, ela fez eu postar foto dela no facebook e fez a kátia cega no comentário kkkkkkkkkkkkkkk q odio",1
@user incrivel como essa foto só fica melhor a cada vez que eu vejo,0
"@user Precisamos ficar atentos. Os métodos utilizados pela Lava Jato ñ foram nada ortodoxos. Houve claramente um pacto de mediocridade entre as instituições brasileiras. Realmente, é preciso estar atento e JAMAIS esmorecer. Muito obrigada pelo seu trabalho Demori 👊🏼",0
@user @user uma jóia de nióbio que n vale quase nada,0
