text,inappropriate
sou inútil nem isso consigo fazer,1
"@user @user @user Ué??? O cara disse que foi ele, e pelo o que vc disse, basta falar que é verdade e vc acredita. Ou nesse caso não é assim?",0
rt @user absolutamente ninguém é capaz de me convencer de que isso é feio https://t.co/eltbqqavn4,1
"hoje a primeira pessoa que eu conversei no campo tava indo pra um velório... que semana bem lixo, pelamor",1
rt @user vai dormir alcoólatra https://t.co/hznzqvcqok,1
"meu sonho é te ver pelado na minha frente...ou atrás...melhor ainda...hihi — mano kkkkkkk 
que sonho mixuruca https://t.co/dvqciy3odk",1
@user @user chupa troxa!,1
"@user Ontem passei umas Corona no VA. Mano, quando for passar uma comprinha, a primeira coisa que você passa é a cerveja, depois passa o resto. No final, quando pedirem pra inserir o cartão, você insere sem deixar a pessoa ver que é VA, ela vai selecionar o cartão e nem vai reparar...",0
@user exatamente isso,0
"Por outro lado, entre os gestores há um consenso que joga contra o investimento de mais longo prazo. 
Quando provocados, eles são categóricos: se há uma posição que eles não carregariam por 10 anos de olhos fechados é Itaú, ou qualquer outro banco grande.",1
"Odeio meu corpo, o formato do meu rosto e o meu cabelo. Odeio não ter autoestima nunca e me sentir insuficiente para absolutamente qualquer um e qualquer coisa, queria mudar muita coisa e não consigo. https://t.co/aNOvC750XK",0
"@user @user @user #fsradiobrasil a festa que vcs mostraram de fogos ontem não era do Flamengo e sim do Fortaleza

https://t.co/WanKvOP42w

https://t.co/lJdkG4HPHa
https://t.co/ys2hNPQbBt",0
"@user @user olha quem fala, lixo",1
@user @user faço das suas a minhas palavras! volta o twitter o raiz!,0
"@user acho que essas ""cidadãs"" estão cantando algo sobre sambar na cara do brasil!😐",1
"@user @user socialismo nome bonito do comunismo é : 
de tudo a quem está no poder e migalhas ao povo.",0
"Mas também representam riscos como uma recuperação mais complicada para a mãe e problemas nos partos seguintes (gravidez ectópica, desenvolvimento anormal da placenta, entre outros). https://t.co/uH7dhn046l",0
tava mt precisando ler isso,0
rt @user esta ilha é a cena mais tóxica de sempre pqp,1
"rt @user eu rindo sou igual o jimin me jogo em qualquer canto 
https://t.co/d361qkl7ri",0
"chega em casa vou pra piscina, muito calor tmlc",0
Fui almoçar no shopping agora..Olha a senha que saiu pra mim..Como sera que a menina do caixa sabe disso.rsrsrs..Amei e achei engraçado. https://t.co/ptQ82GuYOs,0
